area,perimeter
21,40
10,22
56,56
193,114
672,216
260,156
308,140
53,50
241,100
4288,636
1027,228
14,24
4677,728
901,234
270,170
340,222
88,60
661,294
30,46
122,78
18,24
100,78
169,98
419,174
104,82
206,156
847,224
2303,430
55,48
1416,408
738,186
42,50
232,132
1962,450
113,72
46,54
1042,316
396,132
18,32
220,104
23,42
104,78
286,150
76,74
211,118
843,214
1121,414
23479,3135
754,198
158,120
55,58
20,32
17,34
923,292
145,106
4027,564
24,38
85,50
315,134
81,66
18812,1727
111,86
20,30
5773,568
9,20
127,70
109,82
41291,4524
202,86
17,28
3494,644
17,28
9345,1144
11202,1190
67,62
14,24
48,48
197,80
57,60
184,100
64,62
90,60
55,78
23,34
29,44
108,106
26,40
66,70
403,130
2370,622
4949,1046
141,102
298,132
48,48
79,56
1161,206
2296,300
2632,736
16,28
130,84
41,50
34,46
9,18
219,108
40522,2149
34,46
9419,640
118,76
75,52
1250,372
6404,712
360,190
341,138
215,116
23,32
51,62
87,76
6880,954
14,28
2449,488
283,176
98,94
192,90
1021,198
2017,554
25,30
10,22
265,130
72,56
419,170
33,34
4384,592
500,182
106,64
53,54
2348,486
16,26
14,26
29,46
15,22
737,218
107,100
32,42
33,38
25,32
606,186
198,116
558,154
5110,678
45679,2461
1534,356
108,70
50,54
11,24
535,178
736,186
296,114
929,240
1310,306
32894,2867
251241,8801
1526,246
18,30
15096,1473
285,146
949,240
46,64
18870,1272
1350,238
2478,520
4675,942
87,84
181,102
158,94
972,196
50,48
11,22
25,40
57,56
14,24
2285,276
23,32
213,128
582,164
22,34
108,74
138,64
280,132
314,138
16,26
15,26
49,56
375,180
47,60
95,86
210,120
31,40
26,40
211,130
28,40
2775,492
386,128
730,332
44,50
41,54
28,36
309,194
5290,866
62,60
104,66
125,74
89,74
131,72
166,90
51295,2281
3429,510
522,294
235,140
85,68
13,24
38633,2093
80,68
472,172
138,58
189,92
56,40
40,50
108,96
444,166
222,192
1250,316
1116,196
883,224
242,144
100,60
14,26
65,62
52,74
63,80
28,46
99,104
78,102
24,40
61,56
64,70
2338,564
33,46
931,312
71702,4480
59,68
2344,296
208,156
887,232
5851,850
1800,328
10300,672
97596,3793
4252,454
105,82
40,48
21,34
481,208
57,48
1571,516
5604,466
8819,1991
14,24
44,60
207,166
4756,740
31635,2045
217,88
190,98
3012,512
699,180
100603,3457
1186,238
17239,2451
151,92
97,72
708,178
347,126
50,50
29,40
6237,708
14,26
172,78
10928,1146
98,90
306,170
5681,606
44654,2019
706,216
42912,3311
63766,2787
31,44
81,80
24,36
31,48
987,236
238056,18793
15,28
48,54
37,44
74,66
457,184
186,112
11,22
18267,1625
1,4
1,4
3,8
1,4
1,4
1,4
1,4
1,4
1,4
3,8
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
3,8
3,8
1,4
3,8
4,10
1,4
1,4
1,4
1,4
3,8
1,4
1,4
1,4
2,6
2,6
1,4
2,6
1,4
1,4
2,6
2,6
2,6
1,4
2,6
1,4
1,4
1,4
1,4
1,4
2,6
2,6
1,4
1,4
2,6
1,4
10,14
5,12
2,6
1,4
1,4
1,4
1,4
1,4
2,6
1,4
1,4
6,14
33,30
259,98
1,4
1,4
1,4
2,6
2,6
3,8
1,4
2,6
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
2,6
1,4
1,4
1,4
1,4
1,4
1,4
5,10
1,4
1,4
1,4
3,8
2,6
4,10
2,6
1,4
1,4
1,4
1,4
1,4
4,10
1,4
1,4
1,4
1,4
1,4
2,6
1,4
1,4
2,6
1,4
2,6
1,4
1,4
1,4
1,4
1,4
1,4
3,8
1,4
3,8
1,4
1,4
1,4
1,4
7,14
7,12
7,16
6,12
3,8
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
4,8
2,6
1,4
1,4
1,4
1,4
2,6
2,6
2,6
8,18
4,10
1,4
2,6
1,4
3,8
2,6
1,4
1,4
1,4
1,4
2,6
5,10
4,10
1,4
15,30
2,6
1,4
1,4
1,4
1,4
1,4
5,10
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
3,8
4,8
1,4
2,6
1,4
1,4
1,4
1,4
2,6
1,4
1,4
2,6
1,4
1,4
1,4
1,4
5,12
8,14
2,6
1,4
1,4
1,4
1,4
3,8
3,8
1,4
2,6
1,4
1,4
1,4
2,6
1,4
1,4
1,4
4,10
5,12
6,14
1,4
11,18
171,112
3,8
2,6
1,4
1,4
2,6
1,4
1,4
1,4
13,20
1,4
1,4
35,64
2,6
1,4
1,4
7,12
6,14
6,12
6,12
112,76
1,4
1,4
2,6
2,6
1,4
2,6
1,4
1,4
1,4
1,4
1,4
1,4
1,4
3,8
1,4
5,12
2,6
1,4
2,6
1,4
6,12
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
2,6
